0:0:ESTATAL
1:8:ABRAHAM GONZÁLEZ
2:8:ANDRÉS DEL RÍO
3:8:ARTEAGA
4:8:BENITO JUÁREZ
5:8:BRAVOS
6:8:CAMARGO
7:8:GALEANA
8:8:GUERRERO
9:8:HIDALGO
10:8:JIMÉNEZ
11:8:MANUEL OJINAGA
12:8:MINA
13:8:MORELOS
14:8:RAYON
