PE:ABRAHAM GONZÁLEZ:CIVIL:SAUL BARRAZA NUÑEZ:HOMBRE:8:1
PEL:ABRAHAM GONZÁLEZ:CIVIL:CLAUDIA AZUCENA BUSTILLOS RAMIREZ:MUJER:8:1
PL:ABRAHAM GONZÁLEZ:CIVIL:JESÚS ALEJANDRO CHÁVEZ HERNÁNDEZ:HOMBRE:8:1
PJ:ABRAHAM GONZÁLEZ:CIVIL:LIZ AURORA ESTUPIÑAN ESTUPIÑAN:MUJER:8:1
PJ:ABRAHAM GONZÁLEZ:CIVIL:CARLOS JURADO GOMEZ:HOMBRE:8:1
EF:ABRAHAM GONZÁLEZ:CIVIL:CARMEN JULIETA LOYA REYNA:MUJER:8:1
EF:ABRAHAM GONZÁLEZ:CIVIL:GLORIA SOLEDAD MONARREZ WONG:MUJER:8:1
PL:ABRAHAM GONZÁLEZ:CIVIL:SAUL ORRANTIA CARRASCO:HOMBRE:8:1
PEL:ABRAHAM GONZÁLEZ:CIVIL:NORMA IVONNE ORTEGA DE LA GARZA:MUJER:8:1
PEJ:ABRAHAM GONZÁLEZ:CIVIL:IVAN ANTONIO VALLEJO CAMPOS:HOMBRE:8:1
PL:ABRAHAM GONZÁLEZ:FAMILIAR:ARELY GIOVANA BARRÓN IBÁÑEZ:MUJER:8:1
EF:ABRAHAM GONZÁLEZ:FAMILIAR:MARLA VIRGINIA BERMUDEZ CELIS:MUJER:8:1
PE:ABRAHAM GONZÁLEZ:FAMILIAR:AXEL IVAN CENICEROS ESCAMILLA:HOMBRE:8:1
PL:ABRAHAM GONZÁLEZ:FAMILIAR:RAUL LORENZO HERNANDEZ VALENCIA:HOMBRE:8:1
PLJ:ABRAHAM GONZÁLEZ:FAMILIAR:CARLOS HUMBERTO JARAMILLO GARCIA:HOMBRE:8:1
PJ:ABRAHAM GONZÁLEZ:FAMILIAR:MOISÉS SALVADOR NÚÑEZ GUEVARA:HOMBRE:8:1
PJ:ABRAHAM GONZÁLEZ:FAMILIAR:NAYELI ORTEGA DELGADO:MUJER:8:1
PEL:ABRAHAM GONZÁLEZ:FAMILIAR:CLAUDIA ANDREA ROSAS GARCIA:MUJER:8:1
EF:ABRAHAM GONZÁLEZ:FAMILIAR:FERNANDO RUIZ SOTO:HOMBRE:8:1
PJ:ABRAHAM GONZÁLEZ:FAMILIAR:DANIELA RUIZ VAZQUEZ:MUJER:8:1
PJ:ABRAHAM GONZÁLEZ:LABORAL:FERNANDA AGUIRRE DELGADO:MUJER:8:1
EF:ABRAHAM GONZÁLEZ:LABORAL:CLAUDIA IVETH CAMACHO TREVIÑO:MUJER:8:1
PEJ:ABRAHAM GONZÁLEZ:LABORAL:JORGE ALBERTO CASTRO SALINAS:HOMBRE:8:1
PLJ:ABRAHAM GONZÁLEZ:LABORAL:ALMA ZUZET CUEVAS AMAYA:MUJER:8:1
EF:ABRAHAM GONZÁLEZ:LABORAL:ROSENDO DE LA ROSA CADENA:HOMBRE:8:1
PJ:ABRAHAM GONZÁLEZ:LABORAL:NORBERTO ANASTACIO GONZÁLEZ NIETO:HOMBRE:8:1
PL:ABRAHAM GONZÁLEZ:LABORAL:ROGELIO LÓPEZ GINEZ:HOMBRE:8:1
PE:ABRAHAM GONZÁLEZ:LABORAL:IRVING PEÑA FERREIRO:HOMBRE:8:1
PL:ABRAHAM GONZÁLEZ:LABORAL:JESUS IGNACIO RENTERIA ESPINOZA:HOMBRE:8:1
PE:ABRAHAM GONZÁLEZ:PENAL:LAURA CRISTINA ACOSTA REAZA:MUJER:8:1
PEL:ABRAHAM GONZÁLEZ:PENAL:NUBIA PATRICIA ALVAREZ LOZOYA:MUJER:8:1
EF:ABRAHAM GONZÁLEZ:PENAL:CESAR ALEJANDRO CARRASCO BORUNDA:HOMBRE:8:1
PELJ:ABRAHAM GONZÁLEZ:PENAL:IBIS ESAU CARRASCO GONZALEZ:HOMBRE:8:1
PE:ABRAHAM GONZÁLEZ:PENAL:JORGE ALBERTO CARRILLO MARTÍNEZ:HOMBRE:8:1
PJ:ABRAHAM GONZÁLEZ:PENAL:WENDY PAOLA CARRILLO MILLAN:MUJER:8:1
PELJ:ABRAHAM GONZÁLEZ:PENAL:ZULMA NAYELI CASTAÑÓN HOLGUÍN:MUJER:8:1
EF:ABRAHAM GONZÁLEZ:PENAL:ZULEMA GARCIA AUDE:MUJER:8:1
EF:ABRAHAM GONZÁLEZ:PENAL:SALVADOR MARIO GARCIA DE LA CADENA LAMELAS:HOMBRE:8:1
PELJ:ABRAHAM GONZÁLEZ:PENAL:RICARDO GARCIA GONZALEZ:HOMBRE:8:1
PJ:ABRAHAM GONZÁLEZ:PENAL:KARLA LILIANA GAYTAN SAENZ:MUJER:8:1
PELJ:ABRAHAM GONZÁLEZ:PENAL:JESÚS ALFREDO GONZÁLEZ GRIJALVA:HOMBRE:8:1
PJ:ABRAHAM GONZÁLEZ:PENAL:HUGO JOSE GUERRA RIVAS:HOMBRE:8:1
PEL:ABRAHAM GONZÁLEZ:PENAL:GRACE KELLY ALMANZA:MUJER:8:1
PJ:ABRAHAM GONZÁLEZ:PENAL:ESTHER ELIZABETH LUNA HERRERA:MUJER:8:1
PJ:ABRAHAM GONZÁLEZ:PENAL:DIANA ITXAMARA MÁRQUEZ PRIETO:MUJER:8:1
PJ:ABRAHAM GONZÁLEZ:PENAL:EDGAR OMAR MONTES VILLA:HOMBRE:8:1
PJ:ABRAHAM GONZÁLEZ:PENAL:GERARDO ARMANDO NAVARRETE ZUBIA:HOMBRE:8:1
PELJ:ABRAHAM GONZÁLEZ:PENAL:SAMUEL BENJAMIN NORIEGA LARA:HOMBRE:8:1
PEJ:ABRAHAM GONZÁLEZ:PENAL:ASTRID YAELI PAVIA PEREZ:MUJER:8:1
EF:ABRAHAM GONZÁLEZ:PENAL:DIANA MIREYA PEÑA MAURICIO:MUJER:8:1
PELJ:ABRAHAM GONZÁLEZ:PENAL:YESSICA RENTERÍA PIÑON:MUJER:8:1
PEL:ABRAHAM GONZÁLEZ:PENAL:LUIS ARMANDO REY PONCE:HOMBRE:8:1
PEL:ABRAHAM GONZÁLEZ:PENAL:DANIEL ISRAEL REYES ALDAZ:HOMBRE:8:1
